,head
345,"{'pos': [-2.035991803343381, -2.728765745174923, 4.17074270503343]}"
346,"{'pos': [-2.021883321302485, -2.7227084378446786, 4.1589367416285645]}"
347,"{'pos': [-2.0120169044499963, -2.718113600791294, 4.149838434376309]}"
348,"{'pos': [-2.005655404978718, -2.7140842612445755, 4.143475297626702]}"
349,"{'pos': [-2.002527297030703, -2.7100414144040887, 4.13967664401537]}"
350,"{'pos': [-2.0025922365704774, -2.705433075949421, 4.1378102616770915]}"
351,"{'pos': [-2.0054630035366325, -2.7000511250884007, 4.13786961893623]}"
352,"{'pos': [-2.011353733800104, -2.6948342169125277, 4.140336052829292]}"
353,"{'pos': [-2.0209025612739873, -2.6907158230970993, 4.145919981571786]}"
354,"{'pos': [-2.034737523505594, -2.6893001166779413, 4.15484828836972]}"
355,"{'pos': [-2.0527450235370006, -2.6917623663556904, 4.16714879820088]}"
356,"{'pos': [-2.0740354376321757, -2.6979064857124904, 4.1827835576409225]}"
357,"{'pos': [-2.09917340415956, -2.7069345892572434, 4.201669362132649]}"
358,"{'pos': [-2.129763157071585, -2.717031828811946, 4.223504337614569]}"
359,"{'pos': [-2.16745760617921, -2.725304715341883, 4.247968551560105]}"
360,"{'pos': [-2.2128064203468467, -2.7302243983316754, 4.274627631924978]}"
361,"{'pos': [-2.264358188358417, -2.732171703355542, 4.302661404829872]}"
362,"{'pos': [-2.3190221013166132, -2.7338195906906217, 4.330832518493192]}"
363,"{'pos': [-2.3720704924702143, -2.737152214522122, 4.3580395120078075]}"
364,"{'pos': [-2.419501499393715, -2.742432506088275, 4.383538512483645]}"
365,"{'pos': [-2.461183009303814, -2.7500978860901233, 4.40827500634121]}"
366,"{'pos': [-2.500177719357019, -2.7595241147879412, 4.434146256382249]}"
367,"{'pos': [-2.54299712142251, -2.7684766053605485, 4.463988066546707]}"
368,"{'pos': [-2.5944236432779646, -2.7756961352338694, 4.499929867866256]}"
369,"{'pos': [-2.6537752090884004, -2.7812494738480646, 4.541569450727284]}"
370,"{'pos': [-2.7216163554901223, -2.7849895084709577, 4.589259403222767]}"
